Time (s),Velocity (m/s),Acceleration (m/s^2),Position (m)
0.01,27.6993,-7.848,0.277385
0.02,27.6208,-7.848,0.553986
0.03,27.5423,-7.848,0.829802
0.04,27.4639,-7.848,1.10483
0.05,27.3854,-7.848,1.37908
0.06,27.3069,-7.848,1.65254
0.07,27.2284,-7.848,1.92522
0.08,27.1499,-7.848,2.19711
0.09,27.0715,-7.848,2.46822
0.1,26.993,-7.848,2.73854
0.11,26.9145,-7.848,3.00808
0.12,26.836,-7.848,3.27683
0.13,26.7575,-7.848,3.5448
0.14,26.6791,-7.848,3.81198
0.15,26.6006,-7.848,4.07838
0.16,26.5221,-7.848,4.34399
0.17,26.4436,-7.848,4.60882
0.18,26.3651,-7.848,4.87286
0.19,26.2867,-7.848,5.13612
0.2,26.2082,-7.848,5.3986
0.21,26.1297,-7.848,5.66028
0.22,26.0512,-7.848,5.92119
0.23,25.9727,-7.848,6.18131
0.24,25.8943,-7.848,6.44064
0.25,25.8158,-7.848,6.69919
0.26,25.7373,-7.848,6.95696
0.27,25.6588,-7.848,7.21394
0.28,25.5803,-7.848,7.47014
0.29,25.5019,-7.848,7.72555
0.3,25.4234,-7.848,7.98017
0.31,25.3449,-7.848,8.23401
0.32,25.2664,-7.848,8.48707
0.33,25.1879,-7.848,8.73934
0.34,25.1095,-7.848,8.99083
0.35,25.031,-7.848,9.24153
0.36,24.9525,-7.848,9.49145
0.37,24.874,-7.848,9.74058
0.38,24.7955,-7.848,9.98893
0.39,24.7171,-7.848,10.2365
0.4,24.6386,-7.848,10.4833
0.41,24.5601,-7.848,10.7293
0.42,24.4816,-7.848,10.9745
0.43,24.4031,-7.848,11.2189
0.44,24.3247,-7.848,11.4625
0.45,24.2462,-7.848,11.7054
0.46,24.1677,-7.848,11.9475
0.47,24.0892,-7.848,12.1887
0.48,24.0107,-7.848,12.4292
0.49,23.9323,-7.848,12.669
0.5,23.8538,-7.848,12.9079
0.51,23.7753,-7.848,13.146
0.52,23.6968,-7.848,13.3834
0.53,23.6183,-7.848,13.62
0.54,23.5399,-7.848,13.8558
0.55,23.4614,-7.848,14.0908
0.56,23.3829,-7.848,14.325
0.57,23.3044,-7.848,14.5584
0.58,23.2259,-7.848,14.7911
0.59,23.1475,-7.848,15.0229
0.6,23.069,-7.848,15.254
0.61,22.9905,-7.848,15.4843
0.62,22.912,-7.848,15.7138
0.63,22.8335,-7.848,15.9426
0.64,22.7551,-7.848,16.1705
0.65,22.6766,-7.848,16.3977
0.66,22.5981,-7.848,16.624
0.67,22.5196,-7.848,16.8496
0.68,22.4411,-7.848,17.0744
0.69,22.3627,-7.848,17.2985
0.7,22.2842,-7.848,17.5217
0.71,22.2057,-7.848,17.7441
0.72,22.1272,-7.848,17.9658
0.73,22.0487,-7.848,18.1867
0.74,21.9703,-7.848,18.4068
0.75,21.8918,-7.848,18.6261
0.76,21.8133,-7.848,18.8446
0.77,21.7348,-7.848,19.0623
0.78,21.6563,-7.848,19.2793
0.79,21.5779,-7.848,19.4955
0.8,21.4994,-7.848,19.7109
0.81,21.4209,-7.848,19.9255
0.82,21.3424,-7.848,20.1393
0.83,21.2639,-7.848,20.3523
0.84,21.1855,-7.848,20.5646
0.85,21.107,-7.848,20.776
0.86,21.0285,-7.848,20.9867
0.87,20.95,-7.848,21.1966
0.88,20.8715,-7.848,21.4057
0.89,20.7931,-7.848,21.614
0.9,20.7146,-7.848,21.8216
0.91,20.6361,-7.848,22.0283
0.92,20.5576,-7.848,22.2343
0.93,20.4791,-7.848,22.4395
0.94,20.4007,-7.848,22.6439
0.95,20.3222,-7.848,22.8475
0.96,20.2437,-7.848,23.0503
0.97,20.1652,-7.848,23.2524
0.98,20.0867,-7.848,23.4536
0.99,20.0083,-7.848,23.6541
1,19.9298,-7.848,23.8538
1.01,19.8513,-7.848,24.0527
1.02,19.7728,-7.848,24.2508
1.03,19.6943,-7.848,24.4481
1.04,19.6159,-7.848,24.6447
1.05,19.5374,-7.848,24.8405
1.06,19.4589,-7.848,25.0354
1.07,19.3804,-7.848,25.2296
1.08,19.3019,-7.848,25.423
1.09,19.2235,-7.848,25.6157
1.1,19.145,-7.848,25.8075
1.11,19.0665,-7.848,25.9986
1.12,18.988,-7.848,26.1888
1.13,18.9095,-7.848,26.3783
1.14,18.8311,-7.848,26.567
1.15,18.7526,-7.848,26.755
1.16,18.6741,-7.848,26.9421
1.17,18.5956,-7.848,27.1284
1.18,18.5171,-7.848,27.314
1.19,18.4387,-7.848,27.4988
1.2,18.3602,-7.848,27.6828
1.21,18.2817,-7.848,27.866
1.22,18.2032,-7.848,28.0484
1.23,18.1247,-7.848,28.23
1.24,18.0463,-7.848,28.4109
1.25,17.9678,-7.848,28.591
1.26,17.8893,-7.848,28.7703
1.27,17.8108,-7.848,28.9488
1.28,17.7323,-7.848,29.1265
1.29,17.6539,-7.848,29.3034
1.3,17.5754,-7.848,29.4796
1.31,17.4969,-7.848,29.6549
1.32,17.4184,-7.848,29.8295
1.33,17.3399,-7.848,30.0033
1.34,17.2615,-7.848,30.1763
1.35,17.183,-7.848,30.3485
1.36,17.1045,-7.848,30.5199
1.37,17.026,-7.848,30.6906
1.38,16.9475,-7.848,30.8605
1.39,16.8691,-7.848,31.0296
1.4,16.7906,-7.848,31.1978
1.41,16.7121,-7.848,31.3654
